FileName, threshold, Percentage minority class before filter,Percentage minority class after filter,Percentage majority class before filter,Percentage majority class after filter, Recall_yes_beforeFilter,Recall_yes_afterFilter,F-score_yes_beforeFilter,F-score_yes_afterFilter,FPR_yes_beforeFilter, FPR_yes_afterFilter,TPR_yes_beforeFilter,TPR_yes_afterFilter,Accuracy_yes_beforeFilter,Accuracy_yes_afterFilter,Precision_yes_beforeFilter,Precision_yes_afterFilter,Recall_no_beforeFilter,Recall_no_afterFilter,F-score_no_beforeFilter,F-score_no_afterFilter,FPR_no_beforeFilter,FPR_no_afterFilter,TPR_no_beforeFilter,TPR_no_afterFilter,Accuracy_no_beforeFilter,Accuracy_no_afterFilter,Precision_no_beforeFilter,Precision_no_afterFilter,Root_mean_square_error_beforeFilter,Root_mean_square_error_afterFilter
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt ,0.00010000,29.984301412872842, 46.13526570048309, 70.01569858712716,53.864734299516904 , 0.0 , 0.5261780104712042 , 0.0 , 0.5241199478487615 , 0.011210762331838564 , 0.4125560538116592 , 0.0 , 0.5261780104712042 , 0.6923076923076923 , 0.5591787439613527 , 0.0 , 0.522077922077922 , 0.9887892376681614 , 0.5874439461883408 , 0.8181818181818182 , 0.5894263217097863 , 1.0 , 0.4738219895287958 ,  0.9887892376681614 ,  0.5874439461883408 , 0.9778270509977827 , 0.5571600481347774 , 0.6977848101265823 , 0.5914221218961625 , 0.46132067479134053 , 0.4922070928703881
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt ,0.00012500,33.91915641476274, 50.65616797900262, 66.08084358523726,49.343832020997375 , 0.0 , 0.7772020725388601 , 0.0 , 0.6479481641468683 , 0.0 , 0.6382978723404256 , 0.0 , 0.7772020725388601 , 0.6608084358523726 , 0.5721784776902887 , 0.0 , 0.5555555555555556 , 1.0 , 0.3617021276595745 , 0.7957671957671957 , 0.4548494983277592 , 1.0 , 0.22279792746113988 ,  1.0 ,  0.3617021276595745 , 1.0 , 0.4759825327510917 , 0.6608084358523726 , 0.6126126126126126 , 0.4769876136591169 , 0.4931769479019845
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt ,0.00015000,34.98098859315589, 51.83098591549295, 65.0190114068441,48.16901408450705 , 0.0 , 0.9565217391304348 , 0.0 , 0.6736842105263158 , 0.0 , 0.9502923976608187 , 0.0 , 0.9565217391304348 , 0.6501901140684411 , 0.5197183098591549 , 0.0 , 0.5199409158050221 , 1.0 , 0.049707602339181284 , 0.7880184331797234 , 0.09066666666666667 , 1.0 , 0.043478260869565216 ,  1.0 ,  0.049707602339181284 , 1.0 , 0.3621197252208047 , 0.6501901140684411 , 0.5151515151515151 , 0.4765276902064941 , 0.5016144384090667
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt ,0.00017500,36.28865979381443, 53.25264750378215, 63.71134020618556,46.74735249621785 , 0.0 , 0.9119318181818182 , 0.0 , 0.6687500000000001 , 0.0 , 0.9288025889967637 , 0.0 , 0.9119318181818182 , 0.6371134020618556 , 0.518910741301059 , 0.0 , 0.5279605263157895 , 1.0 , 0.07119741100323625 , 0.778337531486146 , 0.12154696132596685 , 1.0 , 0.08806818181818182 ,  1.0 ,  0.07119741100323625 , 1.0 , 0.37404580152671757 , 0.6371134020618556 , 0.41509433962264153 , 0.4808457570500986 , 0.5021401996809424
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt ,0.00020000,36.17977528089887, 53.135313531353134, 63.82022471910113,46.864686468646866 , 0.024844720496894408 , 0.84472049689441 , 0.04597701149425287 , 0.6877370417193426 , 0.03169014084507042 , 0.6936619718309859 , 0.024844720496894408 , 0.84472049689441 , 0.6269662921348315 , 0.5924092409240924 , 0.3076923076923077 , 0.579957356076759 , 0.9683098591549296 , 0.30633802816901406 , 0.7681564245810056 , 0.4133016627078385 , 0.9751552795031055 , 0.15527950310559005 ,  0.9683098591549296 ,  0.30633802816901406 , 0.9393939393939394 , 0.4767596281540505 , 0.6365740740740741 , 0.635036496350365 , 0.48178486460210007 , 0.49532762947094516
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt ,0.00010000,26.762589928057558, 42.22474460839955, 73.23741007194245,57.77525539160045 , 0.026881720430107527 , 0.02956989247311828 , 0.05154639175257732 , 0.05583756345177666 , 0.005893909626719057 , 0.021611001964636542 , 0.026881720430107527 , 0.02956989247311828 , 0.7352517985611511 , 0.5777525539160046 , 0.625 , 0.5 , 0.9941060903732809 , 0.9783889980353635 , 0.8461538461538461 , 0.7280701754385964 , 0.9731182795698925 , 0.9704301075268817 ,  0.9941060903732809 ,  0.9783889980353635 , 0.988394584139265 , 0.9585687382297552 , 0.7365356622998545 , 0.5797438882421421 , 0.4435805484359418 , 0.4942067983787831
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt ,0.00012500,29.28, 45.2970297029703, 70.72,54.70297029702971 , 0.0 , 0.05191256830601093 , 0.0 , 0.09547738693467338 , 0.0 , 0.029411764705882353 , 0.0 , 0.05191256830601093 , 0.7072 , 0.5544554455445545 , 0.0 , 0.59375 , 1.0 , 0.9705882352941176 , 0.8284910965323337 , 0.7044334975369458 , 1.0 , 0.9480874316939891 ,  1.0 ,  0.9705882352941176 , 1.0 , 0.9451476793248945 , 0.7072 , 0.5528350515463918 , 0.4550569112309682 , 0.4998507237945213
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt ,0.00015000,30.517241379310345, 46.76354029062087, 69.48275862068965,53.236459709379126 , 0.011299435028248588 , 0.1327683615819209 , 0.022099447513812154 , 0.20302375809935205 , 0.004962779156327543 , 0.15384615384615385 , 0.011299435028248588 , 0.1327683615819209 , 0.6948275862068966 , 0.512549537648613 , 0.5 , 0.43119266055045874 , 0.9950372208436724 , 0.8461538461538461 , 0.819203268641471 , 0.6489058039961941 , 0.9887005649717514 , 0.867231638418079 ,  0.9950372208436724 ,  0.8461538461538461 , 0.9901719901719902 , 0.7578125 , 0.6961805555555556 , 0.5262345679012346 , 0.4623763346305416 , 0.501661301150984
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt ,0.00017500,32.580037664783426, 49.14772727272727, 67.41996233521658,50.85227272727273 , 0.0 , 0.476878612716763 , 0.0 , 0.48961424332344217 , 0.0 , 0.4553072625698324 , 0.0 , 0.476878612716763 , 0.6741996233521658 , 0.5113636363636364 , 0.0 , 0.5030487804878049 , 1.0 , 0.5446927374301676 , 0.8053993250843645 , 0.5313351498637602 , 1.0 , 0.523121387283237 ,  1.0 ,  0.5446927374301676 , 1.0 , 0.5247813411078717 , 0.6741996233521658 , 0.5186170212765957 , 0.4686885548514023 , 0.500684942054516
../datasets/10min/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt ,0.00020000,36.34496919917864, 53.31325301204819, 63.65503080082136,46.68674698795181 , 0.005649717514124294 , 0.940677966101695 , 0.011049723756906077 , 0.6795918367346939 , 0.00967741935483871 , 0.9451612903225807 , 0.005649717514124294 , 0.940677966101695 , 0.6324435318275154 , 0.5271084337349398 , 0.25 , 0.5319488817891374 , 0.9903225806451613 , 0.054838709677419356 , 0.7742749054224464 , 0.09770114942528736 , 0.9943502824858758 , 0.059322033898305086 ,  0.9903225806451613 ,  0.054838709677419356 , 0.9808917197452229 , 0.37393162393162394 , 0.6356107660455487 , 0.4473684210526316 , 0.4829997730785789 , 0.4994959365861239
